,ENGLISH,GERMAN
0,hi,hallo
1,hi,gru gott
2,run,lauf
3,wow,potzdonner
4,wow,donnerwetter
5,fire,feuer
6,help,hilfe
7,help,zu hulf
8,stop,stopp
9,wait,warte
10,hello,hallo
11,i try,ich probiere es
12,i won,ich hab gewonnen
13,i won,ich habe gewonnen
14,smile,lacheln
15,cheers,zum wohl
16,freeze,keine bewegung
17,freeze,stehenbleiben
18,got it,verstanden
19,got it,einverstanden
20,he ran,er rannte
21,he ran,er lief
22,hop in,mach mit
23,hug me,druck mich
24,hug me,nimm mich in den arm
25,hug me,umarme mich
26,i fell,ich fiel
27,i fell,ich fiel hin
28,i fell,ich sturzte
29,i fell,ich bin hingefallen
30,i fell,ich bin gesturzt
31,i know,ich wei
32,i lied,ich habe gelogen
33,i lost,ich habe verloren
34,im,ich bin jahre alt
35,im,ich bin
36,im ok,mir gehts gut
37,im ok,es geht mir gut
38,no way,unmoglich
39,no way,das gibts doch nicht
40,no way,ausgeschlossen
41,no way,in keinster weise
42,really,wirklich
43,really,echt
44,really,im ernst
45,thanks,danke
46,try it,versuchs
47,why me,warum ich
48,ask tom,frag tom
49,ask tom,fragen sie tom
50,ask tom,fragt tom
51,be cool,entspann dich
52,be fair,sei nicht ungerecht
53,be fair,sei fair
54,be nice,sei nett
55,be nice,seien sie nett
56,beat it,geh weg
57,beat it,hau ab
58,beat it,verschwinde
59,beat it,verdufte
60,beat it,mach dich fort
61,beat it,zieh leine
62,beat it,mach dich vom acker
63,beat it,verzieh dich
64,beat it,verkrumele dich
65,beat it,troll dich
66,beat it,zisch ab
67,beat it,pack dich
68,beat it,mach ne fliege
69,beat it,schwirr ab
70,beat it,mach die sause
71,beat it,scher dich weg
72,beat it,scher dich fort
73,call me,ruf mich an
74,come in,komm herein
75,come in,herein
76,come on,komm
77,come on,kommt
78,come on,mach schon
79,come on,macht schon
80,get out,raus
81,go away,geh weg
82,go away,hau ab
83,go away,verschwinde
84,go away,verdufte
85,go away,mach dich fort
86,go away,zieh leine
87,go away,mach dich vom acker
88,go away,verzieh dich
89,go away,verkrumele dich
90,go away,troll dich
91,go away,zisch ab
92,go away,pack dich
93,go away,mach ne fliege
94,go away,schwirr ab
95,go away,mach die sause
96,go away,scher dich weg
97,go away,scher dich fort
98,go away,geh weg
99,go away,verpiss dich
100,go away,hau ab
101,go away,verschwinde
102,go away,verdufte
103,go away,mach dich fort
104,go away,zieh leine
105,go away,mach dich vom acker
106,go away,verzieh dich
107,go away,verkrumele dich
108,go away,troll dich
109,go away,zisch ab
110,go away,pack dich
111,go away,mach ne fliege
112,go away,schwirr ab
113,go away,mach die sause
114,go away,scher dich weg
115,go away,scher dich fort
116,goodbye,auf wiedersehen
117,goodbye,tschuss
118,hang on,nicht nachlassen
119,he came,er kam
120,he runs,er rennt
121,he runs,er lauft
122,help me,hilf mir
123,help us,hilf uns
124,help us,helft uns
125,help us,helfen sie uns
126,hi tom,hallo tom
127,hit tom,schlage tom
128,hit tom,schlagt tom
